text,cleaned_text,language,date,source,location,disaster_type
God bless ...Capiz province,god bless capiz province,Taglish,2019-12-25T02:27:38.000Z,Facebook,Capiz,Typhoon
Ping Delfin duol nis inyo?,ping delfin duol nis inyo,Tagalog,2019-12-25T03:39:06.000Z,Facebook,Capiz,Typhoon
May God bless you all🙏,may god bless you all:foldedhands:,Taglish,2019-12-25T02:29:10.000Z,Facebook,Capiz,Typhoon
Prayers up!🙏🙏,prayers up:foldedhands::foldedhands:,Taglish,2019-12-25T05:46:19.000Z,Facebook,Capiz,Typhoon
So sad..flooded..be safe..godbless.,so sadfloodedbe safegodbless,Taglish,2019-12-25T03:37:05.000Z,Facebook,Capiz,Typhoon
Merry Christmas to all keep safe everyone,merry christmas to all keep safe everyone,English,2019-12-25T04:33:23.000Z,Facebook,Capiz,Typhoon
Gre Vien Ver ingat kayo dyan,gre vien ver ingat kayo dyan,Taglish,2019-12-25T03:15:25.000Z,Facebook,Capiz,Typhoon
To all Basinillo family hope ur all ok . Have a blessed Christmas to all of u !,to all basinillo family hope you are all ok have a blessed christmas to all of you,English,2019-12-25T03:39:18.000Z,Facebook,Capiz,Typhoon
Prayers 🙏🙏🙏,prayers :foldedhands::foldedhands::foldedhands:,Taglish,2019-12-25T02:14:08.000Z,Facebook,Capiz,Typhoon
Prayers for the safety of everyone! May God bless us all 🙏,prayers for the safety of everyone may god bless us all :foldedhands:,English,2019-12-25T03:01:05.000Z,Facebook,Capiz,Typhoon
Prayers for everyone! 🙏💙💛,prayers for everyone :foldedhands::blueheart::yellowheart:,English,2019-12-25T05:35:49.000Z,Facebook,Capiz,Typhoon
Blessed them all lord🙏,blessed them all lord:foldedhands:,English,2019-12-25T05:37:58.000Z,Facebook,Capiz,Typhoon
praying for all ur safety guys...take care and god bless us always.,praying for all you are safety guystake care and god bless us always,English,2024-11-14T10:57:48.000Z,Facebook,Cabagan Isabela,Typhoon
Keep save everyine cabagueños .Have mercy oh LORD🙏🙏🙏,keep save everyine cabagueos have mercy oh lord:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T21:49:42.000Z,Facebook,Cabagan Isabela,Typhoon
Lord God am praying for hedge of protection among your people🙏🙏🙏,lord god am praying for hedge of protection among your people:foldedhands::foldedhands::foldedhands:,English,2024-11-14T10:05:59.000Z,Facebook,Cabagan Isabela,Typhoon
Keep up the good works and keepsafe always,keep up the good works and keepsafe always,English,2024-11-14T12:47:46.000Z,Facebook,Cabagan Isabela,Typhoon
🙏Keep Safe Everyone🙏Keep Praying🙏,:foldedhands:keep safe everyone:foldedhands:keep praying:foldedhands:,Taglish,2024-11-14T13:28:09.000Z,Facebook,Cabagan Isabela,Typhoon
Have mercy on us oh Lord. 🙏🏽Keep safe everyone 🙏🏽,have mercy on us oh lord :foldedhandsmediumskintone:keep safe everyone :foldedhandsmediumskintone:,Taglish,2024-11-14T13:02:16.000Z,Facebook,Cabagan Isabela,Typhoon
Lord 🙏🙏🙏 Jesus have mercy on them! Psalm 91 God will protect us!!!!,lord :foldedhands::foldedhands::foldedhands: jesus have mercy on them psalm 91 god will protect us,English,2024-11-14T09:56:39.000Z,Facebook,Cabagan Isabela,Typhoon
"Praying for you nga kabayan,stay safe",praying for you nga kabayanstay safe,Tagalog,2024-11-14T10:14:17.000Z,Facebook,Cabagan Isabela,Typhoon
Praying for you mga kbayan. Stay safe and God bless you all,praying for you mga kbayan stay safe and god bless you all,Tagalog,2024-11-14T11:27:28.000Z,Facebook,Cabagan Isabela,Typhoon
Keep safe everyone 🙏,keep safe everyone :foldedhands:,Taglish,2024-11-14T09:54:50.000Z,Facebook,Cabagan Isabela,Typhoon
Have mercy Lord,have mercy lord,English,2024-11-14T09:44:29.000Z,Facebook,Cabagan Isabela,Typhoon
"Ito sana ang pag tuunan ng pansin,ang tulungan ang mga naapektuhan ng bagyo! Hindi puro politika!",ito sana ang pag tuunan ng pansinang tulungan ang mga naapektuhan ng bagyo hindi puro politika,Tagalog,2024-11-14T10:32:04.000Z,Facebook,Cabagan Isabela,Typhoon
Praying,praying,Tagalog,2024-11-14T09:45:21.000Z,Facebook,Cabagan Isabela,Typhoon
"kamot ulo na naman Presidente dito... tapos pinsan niya hayon.. smile smile lang bigay ng pera....

keep safe po",kamot ulo na naman presidente dito tapos pinsan niya hayon smile smile lang bigay ng pera keep safe po,Tagalog,2024-11-14T09:42:07.000Z,Facebook,Cabagan Isabela,Typhoon
"Ingat po kayo mga kababayan, God bless you all🙏🙏🙏",ingat po kayo mga kababayan god bless you all:foldedhands::foldedhands::foldedhands:,Tagalog,2024-11-15T09:25:09.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po LAHAT🙏,ingat po lahat:foldedhands:,English,2024-11-14T10:10:48.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat kayo diyan at magdasal lang po tayo🙏,ingat kayo diyan at magdasal lang po tayo:foldedhands:,Tagalog,2024-11-14T10:00:40.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po kayong lahat🙏,ingat po kayong lahat:foldedhands:,Tagalog,2024-11-14T10:12:01.000Z,Facebook,Cabagan Isabela,Typhoon
"Dasal talaga sa ganitong pangyayari, keep safe sa lahat🙏🙏🙏",dasal really sa ganitong pangyayari keep safe sa lahat:foldedhands::foldedhands::foldedhands:,English,2024-11-14T09:39:55.000Z,Facebook,Cabagan Isabela,Typhoon
ingat po mga kabayan,ingat po mga kabayan,Tagalog,2024-11-14T10:40:26.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po kaung lht.🙏🙏🙏,ingat po kaung lht:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:35:44.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏ingat po tatung Lahat mga cabangenos pray LNG po taung Lahat🙏🥲,:foldedhands::foldedhands::foldedhands:ingat po tatung lahat mga cabangenos pray lng po taung lahat:foldedhands::smilingfacewithtear:,English,2024-11-14T10:02:08.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat mga kabayan pray lang palage an dyan c lord,ingat mga kabayan pray lang palage an dyan c lord,Tagalog,2024-11-14T10:13:57.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po lahat at magdasal sa poon my likha upang iligtas s lahat ng oras,ingat po lahat at magdasal sa poon my likha upang iligtas s lahat ng oras,Tagalog,2024-11-14T09:49:07.000Z,Facebook,Cabagan Isabela,Typhoon
San partes ng cabagan yan sir,san partes ng cabagan yan sir,Tagalog,2024-11-15T01:23:17.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po ang lahat,ingat po ang lahat,Tagalog,2024-11-14T09:52:47.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po Kyo diyan.,ingat po kyo diyan,Tagalog,2024-11-15T05:44:42.000Z,Facebook,Cabagan Isabela,Typhoon
Pray lng po mga kababayan ko,pray lng po mga kababayan ko,Tagalog,2024-11-14T11:52:52.000Z,Facebook,Cabagan Isabela,Typhoon
ingat po mga kabayan.,ingat po mga kabayan,Tagalog,2024-11-14T10:38:18.000Z,Facebook,Cabagan Isabela,Typhoon
Keep safe po kyo lhat.,keep safe po kyo lhat,Taglish,2024-11-14T09:54:34.000Z,Facebook,Cabagan Isabela,Typhoon
Have Mercy Lord 🙏🙏🙏,have mercy lord :foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:21:32.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po mga kababayan pray lang po tayo,ingat po mga kababayan pray lang po tayo,Tagalog,2024-11-14T09:43:43.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat kayo kabayan,ingat kayo kabayan,Tagalog,2024-11-14T09:38:02.000Z,Facebook,Cabagan Isabela,Typhoon
Gra Cie Odranoel Maxima Ramiro kumusta kayo jan? Sana safe kayo at nasa maayos na lugar🙏🙏🙏,gra cie odranoel maxima ramiro kumusta kayo jan sana safe kayo at nasa maayos na lugar:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:39:53.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po,ingat po,Tagalog,2024-11-14T11:12:45.000Z,Facebook,Cabagan Isabela,Typhoon
Tv5 bka pwede magdonate kau ng generator at suction pump para mawala tubig dto sa tubo.tutal nakita nmn nyo ang hirap namin sa tuwing uulan baha na kmi,tv5 bka pwede magdonate kau ng generator at suction pump para mawala tubig dto sa tubotutal nakita nmn nyo ang hirap namin sa tuwing uulan baha na kmi,Tagalog,2024-11-14T11:05:01.000Z,Facebook,Cabagan Isabela,Typhoon
Lord please have mercy on your people. Lord please take control anf please stop the typhoon. Kawawa cla ilang beses na cla lumikas. Ang mga elderly at ang mga bata. Mahabag ka Lord. Lord Kayo lngmpo ang mk stop ng  bagyo. .,lord please have mercy on your people lord please take control anf please stop the typhoon kawawa cla ilang beses na cla lumikas ang mga elderly at ang mga bata mahabag ka lord lord kayo lngmpo ang mk stop ng bagyo,Tagalog,2024-11-14T10:21:24.000Z,Facebook,Cabagan Isabela,Typhoon
Tapos yung mga nakaupo BC sila sa Duterte parin,tapos yung mga nakaupo because sila sa duterte parin,Tagalog,2024-11-14T10:00:52.000Z,Facebook,Cabagan Isabela,Typhoon
Kawawa nmn..ingat po,kawawa nmningat po,Tagalog,2024-11-14T10:14:03.000Z,Facebook,Cabagan Isabela,Typhoon
Pray stay safe MGA kabayan.ingat ingat....,pray stay safe mga kabayaningat ingat,Tagalog,2024-11-14T12:39:00.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat kayo pray God help amen 🙏,ingat kayo pray god help amen :foldedhands:,English,2024-11-14T09:50:28.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat kayong lahat diyan,ingat kayong lahat diyan,Tagalog,2024-11-14T10:04:08.000Z,Facebook,Cabagan Isabela,Typhoon
minsan nanga lang nababalita ung lugar namin dahil sa baha pa  ingat kayo mga kababayan ko,minsan nanga lang nababalita ung lugar namin dahil sa baha pa ingat kayo mga kababayan ko,Tagalog,2024-11-14T11:04:15.000Z,Facebook,Cabagan Isabela,Typhoon
Mag ingat ang lahat God Bless you All 🙏🙏😇😇😇,mag ingat ang lahat god bless you all :foldedhands::foldedhands::smilingfacewithhalo::smilingfacewithhalo::smilingfacewithhalo:,English,2024-11-14T09:44:06.000Z,Facebook,Cabagan Isabela,Typhoon
Sitaw ya?,sitaw ya,Tagalog,2024-11-14T12:21:37.000Z,Facebook,Cabagan Isabela,Typhoon
Diosko po tulongan mo kami dto po sa pilipinas,diosko po tulongan mo kami dto po sa pilipinas,Tagalog,2024-11-14T10:14:09.000Z,Facebook,Cabagan Isabela,Typhoon
Bakit kaya yung bagyo nasa isabela nalang lage,bakit kaya yung bagyo nasa isabela nalang lage,Tagalog,2024-11-14T10:39:46.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat bossing Louis Ramos,ingat bossing louis ramos,English,2024-11-14T13:05:28.000Z,Facebook,Cabagan Isabela,Typhoon
idol lapa si kagawad Andie Dalafu Tan,idol lapa si kagawad andie dalafu tan,Taglish,2024-11-14T10:59:01.000Z,Facebook,Cabagan Isabela,Typhoon
Abrenilla Mhel tingnan mo baha na..🥲🥲🥲,abrenilla mhel tingnan mo baha na:smilingfacewithtear::smilingfacewithtear::smilingfacewithtear:,English,2024-11-14T22:12:36.000Z,Facebook,Cabagan Isabela,Typhoon
Keep safe everyone 🙏,keep safe everyone :foldedhands:,Taglish,2024-11-14T09:53:56.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat mga kababayan,ingat mga kababayan,Tagalog,2024-11-14T09:50:09.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po kayong lahat jan pray lng po tayo,ingat po kayong lahat jan pray lng po tayo,Tagalog,2024-11-14T09:48:56.000Z,Facebook,Cabagan Isabela,Typhoon
busy pa ang mga tongressmen sa quadcom kuno nila,busy pa ang mga tongressmen sa quadcom kuno nila,Tagalog,2024-11-14T14:37:06.000Z,Facebook,Cabagan Isabela,Typhoon
INGAT PO ANG LAHAT,ingat po ang lahat,Tagalog,2024-11-14T10:02:44.000Z,Facebook,Cabagan Isabela,Typhoon
Keep safe sa Mga Taga Northern Luzon,keep safe sa mga taga northern luzon,Tagalog,2024-11-14T11:14:07.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat mga kababayan,ingat mga kababayan,Tagalog,2024-11-14T10:15:49.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po mga kababayan 🙏,ingat po mga kababayan :foldedhands:,Tagalog,2024-11-14T11:35:35.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat kyong lhat lord i need your protection amen,ingat kyong lhat lord i need your protection amen,English,2024-11-14T10:19:33.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat kayung lahat in Jesus name AMEN 😇🙏🙏,ingat kayung lahat in jesus name amen :smilingfacewithhalo::foldedhands::foldedhands:,English,2024-11-14T10:43:22.000Z,Facebook,Cabagan Isabela,Typhoon
tuwadkom lef d grp,tuwadkom lef d grp,Taglish,2024-11-14T09:38:25.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po lahat,ingat po lahat,Tagalog,2024-11-14T09:40:44.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po kayo mga kabayan,ingat po kayo mga kabayan,Tagalog,2024-11-14T09:38:04.000Z,Facebook,Cabagan Isabela,Typhoon
ingat po kayo g lahat lord ingata. nyo silang lahat.🙏🙏🙏,ingat po kayo g lahat lord ingata nyo silang lahat:foldedhands::foldedhands::foldedhands:,Tagalog,2024-11-16T03:00:23.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po kayo .,ingat po kayo,Tagalog,2024-11-14T09:57:15.000Z,Facebook,Cabagan Isabela,Typhoon
Administration ngayon Ang nagdala Ng Malas parang isinumpa pati kalikasan Galit,administration ngayon ang nagdala ng malas parang isinumpa pati kalikasan galit,Tagalog,2024-11-15T05:48:34.000Z,Facebook,Cabagan Isabela,Typhoon
Stay safe 💖🙏,stay safe :sparklingheart::foldedhands:,Taglish,2024-11-14T09:40:20.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat  po 🙏,ingat po :foldedhands:,English,2024-11-14T09:49:02.000Z,Facebook,Cabagan Isabela,Typhoon
Mag ingat po ang lahat🙏,mag ingat po ang lahat:foldedhands:,Tagalog,2024-11-14T15:23:57.000Z,Facebook,Cabagan Isabela,Typhoon
govierno kailaggan tulong po,govierno kailaggan tulong po,Tagalog,2024-11-14T09:58:15.000Z,Facebook,Cabagan Isabela,Typhoon
Lord pls kaawaan mo po kaming lahat,lord please kaawaan mo po kaming lahat,Tagalog,2024-11-14T09:56:45.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po tyong lahat.🙏🙏🙏,ingat po tyong lahat:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T11:50:26.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po kayo jan.,ingat po kayo january,Tagalog,2024-11-14T13:43:19.000Z,Facebook,Cabagan Isabela,Typhoon
ingat po kayo,ingat po kayo,Tagalog,2024-11-14T09:53:00.000Z,Facebook,Cabagan Isabela,Typhoon
Praying for your protection and safety ..,praying for your protection and safety,English,2024-11-14T11:54:06.000Z,Facebook,Cabagan Isabela,Typhoon
ingat lagi kababayan🙏,ingat lagi kababayan:foldedhands:,Tagalog,2024-11-14T11:10:48.000Z,Facebook,Cabagan Isabela,Typhoon
Pray. Safeness to all,pray safeness to all,English,2024-11-14T10:21:03.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat Po kayo ....,ingat po kayo,Tagalog,2024-11-14T09:38:55.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po sa lahat 🙏🏻,ingat po sa lahat :foldedhandslightskintone:,English,2024-11-14T11:34:46.000Z,Facebook,Cabagan Isabela,Typhoon
Sa abbag yan anak dto stin malakas kninang 1 to 2 pm hangin pero nawala din,sa abbag yan anak dto stin malakas kninang 1 to 2 pm hangin pero nawala din,Tagalog,2024-11-14T12:58:55.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po kayo likas agad,ingat po kayo likas agad,Tagalog,2024-11-14T09:58:55.000Z,Facebook,Cabagan Isabela,Typhoon
Diosko Lord Tama. Kadin Apo..nagadon t. Naapektoanen..pti taraken animals awanen nakalasaten.. Tama na. ...kaasin t farmer's awan maapiten Apo 🙏🙏🙏,diosko lord tama kadin aponagadon t naapektoanenpti taraken animals awanen nakalasaten tama na kaasin t farmers awan maapiten apo :foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:55:52.000Z,Facebook,Cabagan Isabela,Typhoon
pray lang po tayo do not panic♥️🙏🙏🙏,pray lang po tayo do not panic:heartsuit::foldedhands::foldedhands::foldedhands:,English,2024-11-14T10:26:33.000Z,Facebook,Cabagan Isabela,Typhoon
Ingat po kau Jan,ingat po kau jan,Taglish,2024-11-14T09:36:51.000Z,Facebook,Cabagan Isabela,Typhoon
nasaan ang bangag,nasaan ang bangag,Tagalog,2024-11-14T09:41:25.000Z,Facebook,Cabagan Isabela,Typhoon
"Ingat kayo ,,,",ingat kayo,Tagalog,2024-11-14T09:43:41.000Z,Facebook,Cabagan Isabela,Typhoon
Keep safe 🙏🙏🙏🙏,keep safe :foldedhands::foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:34:35.000Z,Facebook,Cabagan Isabela,Typhoon
Grabe di man lng nagparamdam ang PCG na syang nangangalaga ng mga RUBBER BOAT na gagamitin tuwing me ganitong kalakas na kalamidad nabili na ba ni TAMBALOSLOS ang PCG?,grabe di man lng nagparamdam ang pcg na syang nangangalaga ng mga rubber boat na gagamitin tuwing me ganitong kalakas na kalamidad nabili na ba ni tambaloslos ang pcg,Tagalog,2024-11-14T10:56:26.000Z,Facebook,Cabagan Isabela,Typhoon
Hoy news 5 Dito new hikayatin Ang congresso kung paano tugunan Ang mga apektado at nasalanta Ng bagyo..kung totoo makabayan kayo,hoy news 5 dito new hikayatin ang congresso kung how tugunan ang mga apektado at nasalanta ng bagyokung totoo makabayan kayo,Tagalog,2024-11-14T12:01:52.000Z,Facebook,Cabagan Isabela,Typhoon
I love pqncit cqbagan.,i love pqncit cqbagan,Taglish,2024-11-14T10:27:34.000Z,Facebook,Cabagan Isabela,Typhoon
Tama na bagyo🥺 pagod na mga tao sa pinas,tama na bagyo:pleadingface: pagod na mga tao sa pinas,Tagalog,2024-11-14T09:39:43.000Z,Facebook,Cabagan Isabela,Typhoon
I believe it is time to live somewhere else 😜,i believe it is time to live somewhere else :winkingfacewithtongue:,English,2024-11-14T10:36:32.000Z,Facebook,Cabagan Isabela,Typhoon
Wala na daw pundo....sabi ni bangag......kawawa talaga mga pilipino......flood control was-out....sinungaling..sagad....,wala na daw pundosabi ni bangagkawawa really mga pilipinoflood control wasoutsinungalingsagad,Tagalog,2024-11-14T09:58:41.000Z,Facebook,Cabagan Isabela,Typhoon
Keepsafe,keepsafe,Taglish,2024-11-14T11:14:57.000Z,Facebook,Cabagan Isabela,Typhoon
antlg lakas ntlg ulan dito sa ilocos norte,antlg lakas ntlg ulan dito sa ilocos norte,Tagalog,2024-11-14T11:53:19.000Z,Facebook,Cabagan Isabela,Typhoon
Naanod nba mga hambogg jan..,naanod nba mga hambogg january,Tagalog,2024-11-15T00:24:35.000Z,Facebook,Cabagan Isabela,Typhoon
na overwhelmed lang ang flood control dyan,na overwhelmed lang ang flood control dyan,English,2024-11-14T09:45:26.000Z,Facebook,Cabagan Isabela,Typhoon
Kinalbo kc ni Enrile kabundukan dyan,kinalbo kc ni enrile kabundukan dyan,Taglish,2024-11-14T11:47:02.000Z,Facebook,Cabagan Isabela,Typhoon
Bc ka hearing  yung mga tao di na naasikaso,because ka hearing yung mga tao di na naasikaso,Tagalog,2024-11-14T09:44:48.000Z,Facebook,Cabagan Isabela,Typhoon
Antay2x lng muna ha..bz pa kame kay du30..,antay2x lng muna habz pa kame kay du30,Tagalog,2024-11-14T11:44:42.000Z,Facebook,Cabagan Isabela,Typhoon
Mas importante ang hearing… nakulimbat na budget dyan sa kickback… hingi ulit for next year… may kunting ayuda at dog house lang solve na… importante may bagong sasakyan relo helicopter at earoplano ang congress… 2025 same pa rin!,mas importante ang hearing nakulimbat na budget dyan sa kickback hingi ulit for next year may kunting ayuda at dog house lang solve na importante may bagong sasakyan relo helicopter at earoplano ang congress 2025 same pa rin,Tagalog,2024-11-14T09:50:09.000Z,Facebook,Cabagan Isabela,Typhoon
💔😢🙏,:brokenheart::cryingface::foldedhands:,English,2024-11-14T09:59:17.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏🙏🙏,:foldedhands::foldedhands::foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T12:09:50.000Z,Facebook,Cabagan Isabela,Typhoon
"Psalm 23:4 from the Bible:
King James Version:

""Yea, though I walk through the valley of the shadow of death,
I will fear no evil:
for thou art with me;
thy rod and thy staff they comfort me.""

This powerful verse reminds us that:

1. God's presence is always with us.
2. We have nothing to fear, even in the darkest times.
3. His guidance and protection 
🙏🙏🙏 Amen",psalm 23:4 from the bible: king james version: yea though i walk through the valley of the shadow of death i will fear no evil: for thou art with me thy rod and thy staff they comfort me this powerful verse reminds us that: 1 gods presence is always with us 2 we have nothing to fear even in the darkest times 3 his guidance and protection :foldedhands::foldedhands::foldedhands: amen,English,2024-11-14T09:48:18.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏🙏☀️☀️☀️🙏🙏🙏,:foldedhands::foldedhands::foldedhands::foldedhands::sun::sun::sun::foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:53:15.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:50:46.000Z,Facebook,Cabagan Isabela,Typhoon
🙏,:foldedhands:,Taglish,2024-11-14T09:38:38.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:50:12.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:47:53.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:33:07.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:13:39.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:39:20.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:38:01.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🏻🙏🏻🙏🏻,:foldedhandslightskintone::foldedhandslightskintone::foldedhandslightskintone:,Taglish,2024-11-14T10:08:17.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🏼🙏🏼🙏🏼,:foldedhandsmediumlightskintone::foldedhandsmediumlightskintone::foldedhandsmediumlightskintone:,Taglish,2024-11-14T10:04:03.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🏻🙏🏻🙏🏻,:foldedhandslightskintone::foldedhandslightskintone::foldedhandslightskintone:,Taglish,2024-11-14T09:46:39.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T11:49:31.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:00:50.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:54:07.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:53:43.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T09:53:28.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🏻🙏🏻,:foldedhandslightskintone::foldedhandslightskintone:,Taglish,2024-11-14T12:24:17.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:46:15.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-14T10:23:39.000Z,Facebook,Cabagan Isabela,Typhoon
🙏🙏🙏,:foldedhands::foldedhands::foldedhands:,Taglish,2024-11-15T20:48:22.000Z,Facebook,Cabagan Isabela,Typhoon
🙏,:foldedhands:,Taglish,2024-11-14T11:28:40.000Z,Facebook,Cabagan Isabela,Typhoon
"Latest Forecast ""OFEL"" (Typhoon Cat 3 USAGI)
6 PM, 14 Nov 2024",latest forecast ofel typhoon cat 3 usagi 6 pm 14 nov 2024,English,2024-11-14T11:06:06.000Z,Facebook,Cabagan Isabela,Typhoon
Praying for you mga kbayan. Stay safe and God bless you all,praying for you mga kbayan stay safe and god bless you all,Tagalog,2024-11-14T14:15:11.000Z,Facebook,Cabagan Isabela,Typhoon
"everyone 

Scripture never LIE 

🙏🙏🙏

Let's pray for everyone safety 🙏 amen

Lord Jesus Christ, I pray for my friends and loved ones [or insert a specific person's name]. Please grant them your peace, love and understanding, and please protect them from the evils of this world. Lord, please guide their paths and help them to make the right decisions — choices that will lead them where you want them to be, amen 🙏 

https://ww3.tlig.org/en/messages/655/

https://ww3.tlig.org/en/messages/1082/",everyone scripture never lie :foldedhands::foldedhands::foldedhands: let us pray for everyone safety :foldedhands: amen lord jesus christ i pray for my friends and loved ones or insert a specific persons name please grant them your peace love and understanding and please protect them from the evils of this world lord please guide their paths and help them to make the right decisions choices that will lead them where you want them to be amen :foldedhands:,English,2024-11-15T09:40:58.000Z,Facebook,Cabagan Isabela,Typhoon
Prayers 🙏 keep safe everyone ❣️,prayers :foldedhands: keep safe everyone :heartexclamation:,English,2024-11-14T10:34:09.000Z,Facebook,Cabagan Isabela,Typhoon
Ito papo may baby pa please papost 🙏🙏,ito papo may baby pa please papost :foldedhands::foldedhands:,English,2022-10-29T15:16:10.000Z,Facebook,Cavite,Typhoon
🙏🙏🙏🙏,:foldedhands::foldedhands::foldedhands::foldedhands:,Taglish,2022-10-29T15:53:07.000Z,Facebook,Cavite,Typhoon
